cole_nombre_establecimiento,Promedio_Puntaje_Global,cole_bilingue,cole_caracter,cole_calendario,cole_genero,cole_jornada,cole_naturaleza,cole_area_ubicacion,cole_depto_ubicacion,Decil
I.E. PIO XII,258.19292604501607,S,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,PUTUMAYO,6
I.E. PLACIDO CAMILO CROUS,279.1333333333333,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,PUTUMAYO,8
I.E. PLINIO MENDOZA NEIRA,244.3658536585366,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,BOYACA,4
I.E. POBLAZÓN,265.5,Desconocido,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAUCA,7
I.E. POLINDARA,200.57142857142858,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAUCA,1
I.E. POLITECNICO FRANCISCO DE PAULA SANTANDER,254.73170731707316,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,CAUCA,6
I.E. POLITECNICO LA MILAGROSA,224.15384615384616,N,TÉCNICO,A,MIXTO,TARDE,OFICIAL,URBANO,CAUCA,2
I.E. PROMOCION SOCIAL,247.83333333333334,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAUCA,5
I.E. PROMOCION SOCIAL GUANACAS,284.7857142857143,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAUCA,9
I.E. PUEBLO BELLO,233.86666666666667,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,ANTIOQUIA,3
I.E. PUEBLO NUEVO,219.6315789473684,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,SUCRE,2
I.E. PUEBLO NUEVO CIPRÉS,207.86666666666667,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAUCA,1
I.E. PUERTO CESAR,241.0,Desconocido,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,ANTIOQUIA,4
I.E. PUERTO LOPEZ,217.6086956521739,Desconocido,ACADÉMICO,A,MIXTO,TARDE,OFICIAL,RURAL,SUCRE,2
I.E. PUERTO PINZON,228.55555555555554,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,BOYACA,2
I.E. QUICHAYA,203.5,Desconocido,TÉCNICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,CAUCA,1
I.E. R. BRISAS DE SAN ISIDRO,229.6,Desconocido,NO APLICA,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAQUETA,3
I.E. R. JORGE ELIECER GAITAN,222.53333333333333,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAQUETA,2
I.E. R. LA AGUILILLA,210.76923076923077,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAQUETA,1
I.E. R. LA ESMERALDA,252.8,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAQUETA,5
I.E. R. LA FLORIDA,201.625,Desconocido,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAQUETA,1
I.E. R. LA UNION,226.66666666666666,Desconocido,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAQUETA,2
I.E. R. SANTO DOMINGO SAVIO,221.0,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAQUETA,2
I.E. RAFAEL BAYONA NIÑO,270.51428571428573,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,BOYACA,7
I.E. RAFAEL REYES,293.2307692307692,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,BOYACA,9
I.E. RAMON BARRANTES,245.7058823529412,N,TÉCNICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,BOYACA,4
I.E. RECUERDO BAJO (ANTES C.E.),235.75,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAUCA,3
I.E. REGION SUR DE AQUITANIA,242.66666666666666,Desconocido,ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,BOYACA,4
I.E. RENACER PÁEZ,237.23529411764707,N,ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,CAUCA,3
I.E. RICARDO GONZÁLEZ,259.74747474747477,N,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,CESAR,6
I.E. RIO GRANDE,226.33333333333334,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,ANTIOQUIA,2
I.E. ROSEDAL,251.40506329113924,S,ACADÉMICO,A,MIXTO,COMPLETA,NO OFICIAL,URBANO,BOLIVAR,5
I.E. RURAL LAS LAJAS,225.0,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAQUETA,2
I.E. SABAS BELTRAN,200.9,N,TÉCNICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,CAUCA,1
I.E. SAGRADA FAMILIA,250.51020408163265,Desconocido,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,CAUCA,5
I.E. SAGRADO CORAZON,228.73134328358208,N,ACADÉMICO,A,MIXTO,TARDE,OFICIAL,URBANO,CAUCA,2
I.E. SAGRADO CORAZON DE JESUS,255.5,N,ACADÉMICO,A,MIXTO,MAÑANA,NO OFICIAL,URBANO,TOLIMA,6
I.E. SAGRADO CORAZÓN DE JESÚS,227.88372093023256,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,ANTIOQUIA,2
I.E. SAMORE,265.1111111111111,N,TÉCNICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,NORTE SANTANDER,7
I.E. SAMUEL IGNACIO SANTAMARIA,230.89473684210526,Desconocido,TÉCNICO,A,MIXTO,COMPLETA,OFICIAL,RURAL,BOYACA,3
I.E. SAN ANTONIO DE PADUA,254.0,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,CAUCA,5
I.E. SAN CARLOS,255.94117647058823,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,CAUCA,6
I.E. SAN FELIPE,252.66,N,TÉCNICO/ACADÉMICO,A,MIXTO,COMPLETA,OFICIAL,URBANO,BOYACA,5
I.E. SAN FRANCISCO,260.9,N,TÉCNICO/ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,BOYACA,6
I.E. SAN IGNACIO,218.92307692307693,Desconocido,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,SUCRE,2
I.E. SAN IGNACIO DE LOYOLA,238.53333333333333,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,BOYACA,4
I.E. SAN ISIDRO,230.4,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CAUCA,3
I.E. SAN JOSE,224.63250883392226,N,TÉCNICO,A,MIXTO,MAÑANA,OFICIAL,URBANO,CAUCA,2
I.E. SAN JOSE DE ALMAGRA,210.07142857142858,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,SUCRE,1
I.E. SAN JOSE DE LA GUNETA,226.47058823529412,N,ACADÉMICO,A,MIXTO,MAÑANA,OFICIAL,RURAL,CORDOBA,2
I.E. SAN JOSE DE LA PESQUERA,216.23076923076923,N,ACADÉMICO,A,MIXTO,SABATINA,OFICIAL,RURAL,ARAUCA,1
